REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,H3N2v
National,X,1999,44,2454,3.9119804400978,0,0,60,0,34,2,0
National,X,1999,45,2576,5.74534161490683,0,0,82,0,66,0,0
National,X,1999,46,2862,8.07127882599581,0,0,137,0,94,0,0
National,X,1999,47,2709,10.5574012550757,0,0,131,0,154,1,0
National,X,1999,48,3845,13.7061118335501,0,0,207,0,320,0,0
National,X,1999,49,4422,19.109000452284,2,0,189,0,653,1,0
National,X,1999,50,5597,23.333928890477,1,0,284,0,1017,4,0
National,X,1999,51,5575,30.9596412556054,2,0,341,0,1382,1,0
National,X,1999,52,7323,29.3732077017616,3,0,376,0,1768,4,0
National,X,2000,1,8423,24.9673513000119,2,0,378,0,1722,1,0
National,X,2000,2,7722,21.3027713027713,0,0,464,0,1179,2,0
National,X,2000,3,6242,16.7254085229093,2,0,302,0,737,3,0
National,X,2000,4,5482,12.6778547975192,3,0,244,0,443,5,0
National,X,2000,5,4550,10.6593406593407,10,0,153,0,321,1,0
National,X,2000,6,4059,10.150283321015,7,0,126,0,275,4,0
National,X,2000,7,3523,7.46522849843883,10,0,69,0,178,6,0
National,X,2000,8,3142,6.3653723742839,18,0,41,0,132,9,0
National,X,2000,9,2698,3.70644922164566,9,0,26,0,60,5,0
National,X,2000,10,2195,3.41685649202734,22,0,18,0,29,6,0
National,X,2000,11,1960,2.70408163265306,19,0,7,0,22,5,0
National,X,2000,12,1879,1.75625332623736,13,0,1,0,16,3,0
National,X,2000,13,1708,1.22950819672131,7,0,3,0,8,3,0
National,X,2000,14,1506,1.26162018592297,6,0,1,0,8,4,0
National,X,2000,15,1294,1.70015455950541,9,0,0,0,8,5,0
National,X,2000,16,1212,1.8976897689769,3,0,5,0,10,5,0
National,X,2000,17,1108,1.44404332129964,3,0,0,0,9,4,0
National,X,2000,18,1061,0.942507068803016,2,0,0,0,2,6,0
National,X,2000,19,947,0.211193241816262,0,0,0,0,1,1,0
National,X,2000,20,865,0.23121387283237,0,0,0,0,0,2,0
National,X,2000,21,,,X,X,X,X,X,X,X
National,X,2000,22,,,X,X,X,X,X,X,X
National,X,2000,23,,,X,X,X,X,X,X,X
National,X,2000,24,,,X,X,X,X,X,X,X
National,X,2000,25,,,X,X,X,X,X,X,X
National,X,2000,26,,,X,X,X,X,X,X,X
National,X,2000,27,,,X,X,X,X,X,X,X
National,X,2000,28,,,X,X,X,X,X,X,X
National,X,2000,29,,,X,X,X,X,X,X,X
National,X,2000,30,,,X,X,X,X,X,X,X
National,X,2000,31,,,X,X,X,X,X,X,X
National,X,2000,32,,,X,X,X,X,X,X,X
National,X,2000,33,,,X,X,X,X,X,X,X
National,X,2000,34,,,X,X,X,X,X,X,X
National,X,2000,35,,,X,X,X,X,X,X,X
National,X,2000,36,,,X,X,X,X,X,X,X
National,X,2000,37,,,X,X,X,X,X,X,X
National,X,2000,38,,,X,X,X,X,X,X,X
National,X,2000,39,,,X,X,X,X,X,X,X
National,X,2000,40,1387,0.0720980533525595,0,0,0,0,0,1,0
National,X,2000,41,1490,0.268456375838926,2,0,0,0,2,0,0
National,X,2000,42,1691,0.236546422235364,1,0,0,0,1,2,0
National,X,2000,43,1683,0.83184789067142,7,0,3,0,2,2,0
National,X,2000,44,1964,0.814663951120163,10,0,1,0,2,3,0
National,X,2000,45,1862,1.98711063372718,24,0,1,0,5,7,0
National,X,2000,46,2183,1.96976637654604,17,0,1,0,12,13,0
National,X,2000,47,2201,3.49840981372104,20,0,2,0,31,24,0
National,X,2000,48,2505,3.91217564870259,31,0,1,0,30,36,0
National,X,2000,49,2841,5.66701865540303,51,0,3,0,66,41,0
National,X,2000,50,3275,6.90076335877863,61,0,3,0,107,55,0
National,X,2000,51,3370,11.6913946587537,114,0,2,0,175,103,0
National,X,2000,52,3310,13.8670694864048,118,0,0,0,209,132,0
National,X,2001,1,3821,13.3734624443863,147,0,5,0,192,167,0
National,X,2001,2,4563,17.7953101030024,203,0,5,0,329,275,0
National,X,2001,3,5121,22.1050576059363,257,0,2,0,500,373,0
National,X,2001,4,5729,23.2152208064235,286,0,5,0,550,489,0
National,X,2001,5,5914,20.9333784240785,258,0,1,0,455,524,0
National,X,2001,6,5619,18.9891439757964,186,0,3,0,291,587,0
National,X,2001,7,4920,15.4268292682927,101,0,4,0,184,470,0
National,X,2001,8,4571,13.9356814701378,74,0,5,0,121,437,0
National,X,2001,9,4321,11.4556815551956,41,0,7,0,70,377,0
National,X,2001,10,3793,7.19746902188241,36,0,1,0,39,197,0
National,X,2001,11,3368,5.90855106888361,24,0,2,0,21,152,0
National,X,2001,12,3132,5.77905491698595,6,0,3,0,19,153,0
National,X,2001,13,2788,4.37589670014347,16,0,1,0,9,96,0
National,X,2001,14,2386,3.26906957250629,5,0,0,0,5,68,0
National,X,2001,15,2020,2.22772277227723,0,0,1,0,7,37,0
National,X,2001,16,1825,2.57534246575342,2,0,0,0,1,44,0
National,X,2001,17,1640,1.28048780487805,0,0,0,0,0,21,0
National,X,2001,18,1528,0.589005235602094,0,0,0,0,1,8,0
National,X,2001,19,1359,0.515084621044886,0,0,0,0,1,6,0
National,X,2001,20,1317,0.683371298405467,0,0,0,0,0,9,0
National,X,2001,21,,,X,X,X,X,X,X,X
National,X,2001,22,,,X,X,X,X,X,X,X
National,X,2001,23,,,X,X,X,X,X,X,X
National,X,2001,24,,,X,X,X,X,X,X,X
National,X,2001,25,,,X,X,X,X,X,X,X
National,X,2001,26,,,X,X,X,X,X,X,X
National,X,2001,27,,,X,X,X,X,X,X,X
National,X,2001,28,,,X,X,X,X,X,X,X
National,X,2001,29,,,X,X,X,X,X,X,X
National,X,2001,30,,,X,X,X,X,X,X,X
National,X,2001,31,,,X,X,X,X,X,X,X
National,X,2001,32,,,X,X,X,X,X,X,X
National,X,2001,33,,,X,X,X,X,X,X,X
National,X,2001,34,,,X,X,X,X,X,X,X
National,X,2001,35,,,X,X,X,X,X,X,X
National,X,2001,36,,,X,X,X,X,X,X,X
National,X,2001,37,,,X,X,X,X,X,X,X
National,X,2001,38,,,X,X,X,X,X,X,X
National,X,2001,39,,,X,X,X,X,X,X,X
National,X,2001,40,1154,0.693240901213172,0,0,4,0,3,1,0
National,X,2001,41,1415,0.353356890459364,0,0,2,0,3,0,0
National,X,2001,42,1468,0.544959128065395,0,0,3,0,5,0,0
National,X,2001,43,1583,1.07391029690461,0,0,9,0,8,0,0
National,X,2001,44,1704,0.762910798122066,1,0,6,0,6,0,0
National,X,2001,45,1843,0.705371676614216,0,0,12,0,1,0,0
National,X,2001,46,2096,2.19465648854962,0,0,37,0,8,1,0
National,X,2001,47,2052,1.60818713450292,0,0,25,0,5,3,0
National,X,2001,48,2401,3.08204914618909,0,0,50,0,23,1,0
National,X,2001,49,2331,3.56070356070356,1,0,34,0,43,5,0
National,X,2001,50,2434,4.60147904683648,2,0,39,0,69,2,0
National,X,2001,51,2915,5.79759862778731,3,0,44,0,118,4,0
National,X,2001,52,2621,8.39374284624189,0,0,51,0,168,1,0
National,X,2002,1,3531,9.7422826394789,0,0,108,0,234,2,0
National,X,2002,2,3900,13.8461538461538,0,0,144,0,390,6,0
National,X,2002,3,4696,19.7402044293015,1,0,268,0,653,5,0
National,X,2002,4,5816,21.3720770288858,4,0,387,0,840,12,0
National,X,2002,5,6466,22.7961645530467,3,0,450,0,997,24,0
National,X,2002,6,7191,22.7923793630928,6,0,613,0,1001,19,0
National,X,2002,7,7572,23.864236661384,4,0,615,0,1160,28,0
National,X,2002,8,7358,24.9116607773852,11,0,538,0,1216,68,0
National,X,2002,9,6217,22.9210230014476,8,0,384,0,947,86,0
National,X,2002,10,5368,21.1810730253353,7,0,264,0,730,136,0
National,X,2002,11,4337,18.5151026054877,6,0,156,0,475,166,0
National,X,2002,12,3763,15.1209141642307,2,0,103,0,254,210,0
National,X,2002,13,3332,13.7454981992797,3,0,44,0,127,284,0
National,X,2002,14,2660,12.406015037594,3,0,20,0,72,235,0
National,X,2002,15,2329,10.8630313439244,4,0,17,0,40,192,0
National,X,2002,16,2001,13.0934532733633,6,0,18,0,12,226,0
National,X,2002,17,1820,8.57142857142857,1,0,9,0,8,138,0
National,X,2002,18,1643,10.2251978088862,1,0,11,0,7,149,0
National,X,2002,19,1655,8.76132930513595,1,0,0,0,4,140,0
National,X,2002,20,1467,5.9986366734833,1,0,0,0,1,86,0
National,X,2002,21,,,X,X,X,X,X,X,X
National,X,2002,22,,,X,X,X,X,X,X,X
National,X,2002,23,,,X,X,X,X,X,X,X
National,X,2002,24,,,X,X,X,X,X,X,X
National,X,2002,25,,,X,X,X,X,X,X,X
National,X,2002,26,,,X,X,X,X,X,X,X
National,X,2002,27,,,X,X,X,X,X,X,X
National,X,2002,28,,,X,X,X,X,X,X,X
National,X,2002,29,,,X,X,X,X,X,X,X
National,X,2002,30,,,X,X,X,X,X,X,X
National,X,2002,31,,,X,X,X,X,X,X,X
National,X,2002,32,,,X,X,X,X,X,X,X
National,X,2002,33,,,X,X,X,X,X,X,X
National,X,2002,34,,,X,X,X,X,X,X,X
National,X,2002,35,,,X,X,X,X,X,X,X
National,X,2002,36,,,X,X,X,X,X,X,X
National,X,2002,37,,,X,X,X,X,X,X,X
National,X,2002,38,,,X,X,X,X,X,X,X
National,X,2002,39,,,X,X,X,X,X,X,X
National,X,2002,40,1443,0,0,0,0,0,0,0,0
National,X,2002,41,1517,0.1977587343441,1,0,0,0,1,1,0
National,X,2002,42,1590,0,0,0,0,0,0,0,0
National,X,2002,43,1774,0.338218714768884,4,0,0,0,1,1,0
National,X,2002,44,1636,0.366748166259169,0,0,0,0,3,3,0
National,X,2002,45,1988,0.251509054325956,0,0,2,0,0,3,0
National,X,2002,46,2107,0.474608448030375,0,0,0,0,6,4,0
National,X,2002,47,2091,1.05212816834051,2,0,0,0,4,16,0
National,X,2002,48,1900,0.789473684210526,1,0,3,0,5,6,0
National,X,2002,49,2414,1.65700082850041,4,0,3,0,5,28,0
National,X,2002,50,2493,3.89089450461292,8,0,2,0,14,73,0
National,X,2002,51,2910,6.56357388316151,17,0,3,0,25,146,0
National,X,2002,52,2368,6.75675675675676,17,0,6,0,18,119,0
National,X,2003,1,2632,5.62310030395137,27,0,8,0,31,82,0
National,X,2003,2,2828,8.80480905233381,50,0,19,0,46,134,0
National,X,2003,3,3108,11.4864864864865,68,0,11,0,76,202,0
National,X,2003,4,3352,16.31861575179,105,0,24,0,142,276,0
National,X,2003,5,4166,20.4992798847816,173,0,53,0,215,413,0
National,X,2003,6,4874,26.3643824374231,279,0,76,0,332,598,0
National,X,2003,7,4676,25.3207869974337,253,0,115,0,299,517,0
National,X,2003,8,4416,22.554347826087,253,0,126,0,249,368,0
National,X,2003,9,4348,22.2171113155474,275,0,101,0,233,357,0
National,X,2003,10,3633,18.6897880539499,199,0,87,0,179,214,0
National,X,2003,11,3422,17.124488603156,175,0,62,0,174,175,0
National,X,2003,12,3435,14.6433770014556,169,0,77,0,133,124,0
National,X,2003,13,2820,9.9645390070922,90,0,29,0,91,71,0
National,X,2003,14,2352,8.54591836734694,40,0,32,0,88,41,0
National,X,2003,15,2131,5.16189582355702,24,0,23,0,47,16,0
National,X,2003,16,1777,5.00844119302195,13,0,20,0,33,23,0
National,X,2003,17,1406,4.12517780938834,9,0,20,0,18,11,0
National,X,2003,18,1222,5.56464811783961,16,0,16,0,16,20,0
National,X,2003,19,1121,2.49776984834969,6,0,7,0,5,10,0
National,X,2003,20,931,2.04081632653061,7,0,3,0,3,6,0
National,X,2003,21,872,1.8348623853211,3,0,5,0,1,7,0
National,X,2003,22,705,0.851063829787234,0,0,2,0,0,4,0
National,X,2003,23,721,1.80305131761442,3,0,0,0,2,8,0
National,X,2003,24,683,1.02489019033675,0,0,3,0,0,4,0
National,X,2003,25,551,0.725952813067151,0,0,1,0,1,2,0
National,X,2003,26,439,0.455580865603645,1,0,1,0,0,0,0
National,X,2003,27,643,0.15552099533437,0,0,1,0,0,0,0
National,X,2003,28,632,0.474683544303797,0,0,2,0,1,0,0
National,X,2003,29,697,0.573888091822095,0,0,4,0,0,0,0
National,X,2003,30,636,0.628930817610063,0,0,4,0,0,0,0
National,X,2003,31,632,1.26582278481013,0,0,7,0,0,1,0
National,X,2003,32,632,0.316455696202532,0,0,2,0,0,0,0
National,X,2003,33,761,0.394218134034166,0,0,2,0,1,0,0
National,X,2003,34,649,0,0,0,0,0,0,0,0
National,X,2003,35,672,0,0,0,0,0,0,0,0
National,X,2003,36,512,0.390625,0,0,0,0,2,0,0
National,X,2003,37,604,0.165562913907285,0,0,1,0,0,0,0
National,X,2003,38,535,0.373831775700935,0,0,1,0,1,0,0
National,X,2003,39,414,0,0,0,0,0,0,0,0
National,X,2003,40,1430,1.53846153846154,0,0,2,0,19,1,0
National,X,2003,41,1682,4.57788347205708,0,0,3,0,74,0,0
National,X,2003,42,2176,11.6268382352941,0,0,17,0,235,1,0
National,X,2003,43,2568,17.8348909657321,0,0,56,0,398,4,0
National,X,2003,44,2753,19.4333454413367,0,0,100,0,435,0,0
National,X,2003,45,3553,24.26118772868,1,0,273,0,585,3,0
National,X,2003,46,4595,28.0957562568009,0,0,381,0,908,2,0
National,X,2003,47,5942,33.1201615617637,0,0,585,0,1375,8,0
National,X,2003,48,6479,34.7430158975151,0,0,489,0,1752,10,0
National,X,2003,49,9598,34.0591789956241,0,0,977,0,2260,32,0
National,X,2003,50,12422,32.9254548381903,0,0,1401,0,2660,29,0
National,X,2003,51,11783,30.7986081643045,0,0,1084,0,2525,20,0
National,X,2003,52,9748,24.7332786212556,0,0,569,0,1826,16,0
National,X,2003,53,8461,20.104006618603,0,0,463,0,1226,12,0
National,X,2004,1,6936,12.4279123414072,0,0,280,0,573,9,0
National,X,2004,2,5411,9.33284051007208,0,0,169,0,331,5,0
National,X,2004,3,4329,6.00600600600601,0,0,96,0,161,3,0
National,X,2004,4,4166,3.98463754200672,0,0,93,0,70,3,0
National,X,2004,5,3661,2.92269871619776,1,0,46,0,58,2,0
National,X,2004,6,3530,1.8413597733711,0,0,24,0,36,5,0
National,X,2004,7,3136,1.78571428571429,0,0,29,0,19,8,0
National,X,2004,8,2559,1.48495506057054,0,0,16,0,10,12,0
National,X,2004,9,2651,0.678989060731799,0,0,4,0,6,8,0
National,X,2004,10,2369,0.590966652596032,0,0,2,0,6,6,0
National,X,2004,11,2239,0.580616346583296,0,0,4,0,7,2,0
National,X,2004,12,1801,1.33259300388673,0,0,5,0,4,15,0
National,X,2004,13,1850,0.918918918918919,0,0,3,0,5,9,0
National,X,2004,14,1778,0.506186726659168,0,0,0,0,1,8,0
National,X,2004,15,1564,0.959079283887468,0,0,0,0,3,12,0
National,X,2004,16,1449,1.65631469979296,0,0,2,0,11,11,0
National,X,2004,17,1377,0.798838053740014,0,0,0,0,4,7,0
National,X,2004,18,1298,0.693374422187982,0,0,0,0,3,6,0
National,X,2004,19,1241,0.16116035455278,0,0,0,0,0,2,0
National,X,2004,20,1105,0.361990950226244,0,0,0,0,1,3,0
National,X,2004,21,1055,0.568720379146919,0,0,1,0,2,3,0
National,X,2004,22,823,0.729040097205346,0,0,0,0,2,4,0
National,X,2004,23,793,0.378310214375788,0,0,0,0,1,2,0
National,X,2004,24,844,0.23696682464455,0,0,0,0,0,2,0
National,X,2004,25,741,0.404858299595142,0,0,1,0,1,1,0
National,X,2004,26,730,0.410958904109589,0,0,1,0,0,2,0
National,X,2004,27,573,0.174520069808028,0,0,0,0,0,1,0
National,X,2004,28,746,0.268096514745308,0,0,0,0,0,2,0
National,X,2004,29,563,0.355239786856128,0,0,0,0,0,2,0
National,X,2004,30,671,0,0,0,0,0,0,0,0
National,X,2004,31,628,0.318471337579618,0,0,1,0,0,1,0
National,X,2004,32,620,0.161290322580645,0,0,1,0,0,0,0
National,X,2004,33,647,0.154559505409583,0,0,0,0,0,1,0
National,X,2004,34,823,0.486026731470231,0,0,0,0,3,1,0
National,X,2004,35,827,0.483675937122128,0,0,4,0,0,0,0
National,X,2004,36,822,0.364963503649635,0,0,0,0,0,3,0
National,X,2004,37,907,0.771775082690187,0,0,1,0,4,2,0
National,X,2004,38,890,0.449438202247191,0,0,2,0,1,1,0
National,X,2004,39,919,1.5233949945593,0,0,4,0,8,2,0
National,X,2004,40,1860,0.645161290322581,0,0,5,0,3,4,0
National,X,2004,41,2154,0.649953574744661,0,0,10,0,3,1,0
National,X,2004,42,2412,1.61691542288557,0,0,16,0,12,11,0
National,X,2004,43,2620,1.22137404580153,0,0,13,0,12,7,0
National,X,2004,44,2771,1.62396246842295,0,0,19,0,10,16,0
National,X,2004,45,3074,2.01691607026675,0,0,28,0,10,24,0
National,X,2004,46,3310,2.77945619335347,0,0,41,0,30,21,0
National,X,2004,47,3111,1.96078431372549,0,0,18,0,22,21,0
National,X,2004,48,3826,3.58076319916362,0,0,65,0,40,32,0
National,X,2004,49,3846,5.01820072802912,0,0,88,0,73,32,0
National,X,2004,50,4359,6.56113787565956,1,0,114,0,126,45,0
National,X,2004,51,4509,11.7764471057884,1,0,186,0,290,54,0
National,X,2004,52,5807,16.7556397451352,0,0,340,0,510,123,0
National,X,2005,1,6921,18.5666811154457,2,0,405,0,712,166,0
National,X,2005,2,6646,16.9425218176347,2,0,308,0,634,182,0
National,X,2005,3,6948,21.3442717328728,2,0,377,0,892,212,0
National,X,2005,4,8010,23.2958801498127,1,0,514,0,1045,306,0
National,X,2005,5,8654,26.8661890455281,0,0,687,0,1214,424,0
National,X,2005,6,9684,26.548946716233,2,0,640,0,1451,478,0
National,X,2005,7,10586,25.5526166635179,2,0,692,0,1398,613,0
National,X,2005,8,9710,23.4603501544799,1,0,524,0,1135,618,0
National,X,2005,9,8511,19.9506520972859,0,0,228,0,950,520,0
National,X,2005,10,7580,16.042216358839,0,0,163,0,635,418,0
National,X,2005,11,6540,16.9418960244648,0,0,148,0,489,471,0
National,X,2005,12,5928,14.6592442645074,0,0,103,0,303,463,0
National,X,2005,13,5134,11.0440202571095,3,0,54,0,167,343,0
National,X,2005,14,3894,9.1165896250642,0,0,47,0,96,212,0
National,X,2005,15,3339,5.27103923330338,0,0,14,0,39,123,0
National,X,2005,16,2933,4.19365837026935,1,0,21,0,26,75,0
National,X,2005,17,2570,2.68482490272374,0,0,12,0,15,42,0
National,X,2005,18,2250,2.26666666666667,0,0,10,0,8,33,0
National,X,2005,19,2136,1.73220973782772,0,0,13,0,5,19,0
National,X,2005,20,1889,2.06458443620963,0,0,20,0,3,16,0
National,X,2005,21,1809,1.71365395245992,0,0,9,0,3,19,0
National,X,2005,22,1682,1.36741973840666,0,0,5,0,3,15,0
National,X,2005,23,1576,0.761421319796954,0,0,4,0,0,8,0
National,X,2005,24,1514,0.990752972258917,0,0,3,0,2,10,0
National,X,2005,25,1229,0.895036615134255,0,0,5,0,1,5,0
National,X,2005,26,1215,0.576131687242798,0,0,0,0,6,1,0
National,X,2005,27,1073,0.465983224603914,0,0,1,0,0,4,0
National,X,2005,28,991,0.201816347124117,0,0,0,0,0,2,0
National,X,2005,29,983,0.305188199389624,0,0,0,0,1,2,0
National,X,2005,30,1124,0.177935943060498,0,0,1,0,0,1,0
National,X,2005,31,1018,0,0,0,0,0,0,0,0
National,X,2005,32,964,0.4149377593361,0,0,3,0,1,0,0
National,X,2005,33,989,0.606673407482305,1,0,0,0,5,0,0
National,X,2005,34,1016,0.393700787401575,0,0,2,0,2,0,0
National,X,2005,35,1054,0.569259962049336,0,0,2,0,3,1,0
National,X,2005,36,1031,0.0969932104752667,0,0,1,0,0,0,0
National,X,2005,37,1099,0.454959053685168,0,0,4,0,0,1,0
National,X,2005,38,1280,0.15625,0,0,2,0,0,0,0
National,X,2005,39,1421,0.492610837438424,0,0,2,0,4,1,0
National,X,2005,40,1894,0.58078141499472,0,0,6,0,4,1,0
National,X,2005,41,2191,0.547695116385212,0,0,6,0,4,2,0
National,X,2005,42,2349,1.06428267347808,0,0,12,0,8,5,0
National,X,2005,43,2780,0.503597122302158,0,0,6,0,6,2,0
National,X,2005,44,2890,0.795847750865052,0,0,13,0,7,3,0
National,X,2005,45,3320,1.29518072289157,1,0,21,0,14,7,0
National,X,2005,46,3861,1.21730121730122,2,0,18,0,23,4,0
National,X,2005,47,3268,1.59118727050184,0,0,19,0,30,3,0
National,X,2005,48,4056,2.85996055226824,1,0,57,0,56,2,0
National,X,2005,49,3863,5.53973595651048,1,0,126,0,79,8,0
National,X,2005,50,4618,8.64010394110004,0,0,269,0,125,5,0
National,X,2005,51,5418,12.7537836840162,1,0,296,0,383,11,0
National,X,2005,52,5829,13.484302624807,2,0,336,0,425,23,0
National,X,2006,1,6417,11.7188717469222,1,0,259,0,468,24,0
National,X,2006,2,6378,13.2173095014111,4,0,297,0,520,22,0
