"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2017,24,8966,127,159,3.18983,1.41646,1.77337
National,X,2017,25,8125,107,120,2.79385,1.31692,1.47692
National,X,2017,26,6861,91,95,2.71098,1.32634,1.38464
National,X,2017,27,7070,75,78,2.16407,1.06082,1.10325
National,X,2017,28,7434,93,66,2.13882,1.25101,0.887813
National,X,2017,29,7088,87,43,1.83409,1.22743,0.606659
National,X,2017,30,6776,73,50,1.81523,1.07733,0.737898
National,X,2017,31,6719,95,33,1.90505,1.4139,0.491145
National,X,2017,32,6824,75,55,1.90504,1.09906,0.805979
National,X,2017,33,7524,62,38,1.32908,0.82403,0.505051
National,X,2017,34,8087,78,34,1.38494,0.964511,0.420428
National,X,2017,35,9264,117,57,1.87824,1.26295,0.615285
National,X,2017,36,10230,128,61,1.84751,1.25122,0.596285
National,X,2017,37,11417,148,68,1.89192,1.29631,0.595603
National,X,2017,38,12517,136,68,1.62978,1.08652,0.543261
National,X,2017,39,13486,156,72,1.69064,1.15676,0.533887
National,X,2017,40,15438,227,113,2.20236,1.4704,0.73196
National,X,2017,41,16440,245,95,2.06813,1.49027,0.577859
National,X,2017,42,17638,278,110,2.1998,1.57614,0.623653
National,X,2017,43,17816,332,130,2.59317,1.86349,0.729681
National,X,2017,44,19973,503,223,3.63491,2.5184,1.11651
National,X,2017,45,21168,681,242,4.36036,3.21712,1.14324
National,X,2017,46,23571,933,312,5.28191,3.95825,1.32366
National,X,2017,47,23210,1318,332,7.109,5.67859,1.43042
National,X,2017,48,26524,1508,412,7.23873,5.68542,1.55331
National,X,2017,49,27786,2176,511,9.67034,7.83128,1.83906
National,X,2017,50,34676,4416,794,15.0248,12.735,2.28977
National,X,2017,51,46043,8733,1633,22.5137,18.9671,3.54668
National,X,2017,52,53071,11390,1996,25.2228,21.4618,3.761
National,X,2018,1,60082,12565,2431,24.9592,20.9131,4.04614
National,X,2018,2,66281,14530,3077,26.5642,21.9218,4.64236
National,X,2018,3,65344,13852,3615,26.7308,21.1986,5.53226
National,X,2018,4,78530,15839,5187,26.7745,20.1694,6.60512
National,X,2018,5,78912,14231,6335,26.0619,18.034,8.02793
National,X,2018,6,77247,13071,7367,26.458,16.921,9.53694
National,X,2018,7,71735,10681,7694,25.6151,14.8895,10.7256
National,X,2018,8,55015,6457,5789,22.2594,11.7368,10.5226
National,X,2018,9,34974,3090,3103,17.7074,8.83513,8.87231
