PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
National,X,2004,13,1858,234998,828,0.747126665292176,0.790645026766185,610,611,495,X,X,142
National,X,2004,14,1705,212432,774,0.661707853318756,0.802609776304888,583,566,440,X,X,116
National,X,2004,15,1749,209178,755,0.679513857897956,0.836129994550096,545,573,500,X,X,131
National,X,2004,16,1615,203802,679,0.633070762506447,0.792435795527031,501,511,461,X,X,142
National,X,2004,17,1331,194708,658,0.569893715038825,0.683587731372106,470,404,349,X,X,108
National,X,2004,18,1394,184038,629,0.591356768666246,0.757452265293037,435,491,383,X,X,85
National,X,2004,19,1327,168276,599,0.589043559956717,0.788585419192279,449,443,361,X,X,74
National,X,2004,20,1262,155386,553,0.678640493481165,0.812170980654628,451,380,337,X,X,94
National,X,2004,21,1070,133008,463,0.637558475854445,0.804462889450259,375,349,280,X,X,66
National,X,2004,22,1061,120884,452,0.813309180414927,0.877700936434929,391,308,289,X,X,73
National,X,2004,23,987,133117,443,0.834551050052394,0.741453007504676,355,309,257,X,X,66
National,X,2004,24,851,128740,426,0.616174060980419,0.661022215317695,307,240,258,X,X,46
National,X,2004,25,887,124037,423,0.513285742502196,0.715109201286713,277,284,245,X,X,81
National,X,2004,26,698,124146,408,0.351881074467375,0.562241232097691,238,183,215,X,X,62
National,X,2004,27,710,90238,381,0.542621107164969,0.786808218267249,233,205,210,X,X,62
National,X,2004,28,836,97135,378,0.581036192538807,0.860657847325887,249,280,227,X,X,80
National,X,2004,29,659,95515,370,0.495486300239858,0.689943987855311,259,200,162,X,X,38
National,X,2004,30,719,92216,363,0.612090360269777,0.779691159885486,260,230,189,X,X,40
National,X,2004,31,733,116693,345,0.531490547922895,0.6281439332265,213,235,225,X,X,60
National,X,2004,32,809,89644,334,0.51998671084002,0.902458614073446,243,256,247,X,X,63
National,X,2004,33,770,95481,335,0.574475754137559,0.806443166703323,256,256,200,X,X,58
National,X,2004,34,799,91326,333,0.663175351255024,0.874887764711035,259,265,231,X,X,44
National,X,2004,35,960,96656,326,0.614691037252002,0.993213044197981,279,358,252,X,X,71
National,X,2004,36,913,104207,337,0.656822919932555,0.876140758298387,281,309,263,X,X,60
National,X,2004,37,1122,118343,341,0.723015723700438,0.948091564351081,342,413,299,X,X,68
National,X,2004,38,1089,117483,336,0.691857240149956,0.926942621485662,322,416,268,X,X,83
National,X,2004,39,1116,114857,364,0.782757764472338,0.97164299955597,333,382,319,X,X,82
National,X,2004,40,3171,353449,1176,0.982275251246415,0.897159137527621,877,1256,853,X,X,185
National,X,2004,41,3631,355116,1187,1.01821254355417,1.02248279435452,1071,1373,971,X,X,216
National,X,2004,42,4019,378094,1267,1.17680497469443,1.06296317846885,1240,1534,1019,X,X,226
National,X,2004,43,4369,380921,1293,1.30121171361561,1.14695698058128,1190,1671,1223,X,X,285
National,X,2004,44,4551,377692,1302,1.27745564951796,1.20495006513244,1327,1718,1215,X,X,291
National,X,2004,45,4969,380718,1344,1.40386862523137,1.30516550307577,1497,1874,1279,X,X,319
National,X,2004,46,4983,387182,1336,1.40301008402851,1.28699164733898,1531,1874,1279,X,X,299
National,X,2004,47,4713,295546,1341,1.73974780401595,1.59467561733199,1490,1678,1274,X,X,271
National,X,2004,48,5407,387004,1369,1.56894071647437,1.39714318198262,1538,2059,1434,X,X,376
National,X,2004,49,5428,374356,1346,1.65927173784707,1.44995672568357,1551,2052,1450,X,X,375
National,X,2004,50,5755,355806,1379,1.8134111594715,1.61745445551789,1670,2071,1643,X,X,371
National,X,2004,51,5689,259639,1288,2.37625578879506,2.19111920782317,1856,1807,1608,X,X,418
National,X,2004,52,7279,283617,1332,2.77052472140324,2.5664893148154,2252,1993,2413,X,X,621
National,X,2005,1,8041,369455,1383,2.40064287277021,2.17644909393566,2010,2450,2869,X,X,712
National,X,2005,2,8323,378024,1342,2.5415463783658,2.20171206060991,2188,2982,2542,X,X,611
National,X,2005,3,9328,368678,1348,2.85870638979955,2.53012113551663,2199,3682,2839,X,X,608
National,X,2005,4,12422,405254,1334,3.55010575773556,3.06523809758818,2747,5364,3586,X,X,725
National,X,2005,5,16192,406772,1303,4.58591287085604,3.98060830145634,3086,7650,4498,X,X,958
National,X,2005,6,19369,421461,1324,5.05808649712821,4.59568026460337,3626,8854,5757,X,X,1132
National,X,2005,7,19931,419426,1330,5.44150703292525,4.75197055022817,3834,8400,6515,X,X,1182
National,X,2005,8,16630,397883,1280,4.47290381550454,4.1796206422491,3720,6759,5125,X,X,1026
National,X,2005,9,13234,383196,1268,3.67520020609373,3.45358511049176,2997,5343,4058,X,X,836
National,X,2005,10,11601,367292,1227,3.33529975560688,3.15852237456846,2728,4494,3634,X,X,745
National,X,2005,11,9502,355454,1185,2.76223957427527,2.67320103304506,2416,3513,2969,X,X,604
National,X,2005,12,7900,335940,1148,2.46844399772953,2.35161040662023,2145,2771,2434,X,X,550
National,X,2005,13,6329,334438,1103,2.00080734472694,1.89242849197759,1827,2133,1979,X,X,390
National,X,2005,14,4816,315823,1048,1.54318952284238,1.52490477260997,1422,1737,1327,X,X,330
National,X,2005,15,4445,314948,1000,1.50195086621046,1.41134409489821,1356,1603,1169,X,X,317
National,X,2005,16,3825,305833,978,1.2291781100798,1.25068256205184,1096,1469,954,X,X,306
National,X,2005,17,3646,302065,971,1.21853900516301,1.20702497806763,1117,1411,894,X,X,224
National,X,2005,18,2990,277120,923,1.15831519645582,1.07895496535797,903,1136,762,X,X,189
National,X,2005,19,3012,263009,878,1.24900074402246,1.14520795866301,979,1115,710,X,X,208
National,X,2005,20,2531,238494,825,1.16887834051687,1.06124263084187,805,926,600,X,X,200
National,X,2005,21,2056,194550,687,1.07887841848831,1.0567977383706,687,695,518,X,X,156
National,X,2005,22,2099,167661,637,1.23059339195328,1.25193097977466,693,678,568,X,X,160
National,X,2005,23,1744,171960,603,1.14747488346169,1.01418934635962,548,594,462,X,X,140
National,X,2005,24,1614,154899,582,1.00254284822828,1.04196928321035,573,507,409,X,X,125
National,X,2005,25,1628,170645,587,0.957569141019123,0.954027366755545,580,507,431,X,X,110
National,X,2005,26,1359,160216,550,0.894837476411189,0.848229889648974,497,452,326,X,X,84
National,X,2005,27,1198,142302,533,0.798205215029949,0.841871512698346,426,390,313,X,X,69
National,X,2005,28,1148,157068,524,0.757812481860001,0.730893625690784,389,361,323,X,X,75
National,X,2005,29,1068,149699,507,0.825963378390184,0.713431619449696,333,364,303,X,X,68
National,X,2005,30,990,147612,492,0.74492697915824,0.670677180717015,328,327,279,X,X,56
National,X,2005,31,982,142468,488,0.787049224654512,0.689277592161047,331,326,267,X,X,58
National,X,2005,32,1023,145121,479,0.684723769631078,0.704928990290861,319,350,297,X,X,57
National,X,2005,33,928,150673,480,0.747360921616147,0.615903313798756,330,326,225,X,X,47
National,X,2005,34,922,151290,428,0.6739744591204,0.609425606451186,292,311,265,X,X,54
National,X,2005,35,1033,151854,420,0.869661601073597,0.680258669511504,342,367,273,X,X,51
National,X,2005,36,1061,136817,416,0.899528963767326,0.775488426145874,338,396,264,X,X,63
National,X,2005,37,1026,150127,408,0.85463462900034,0.683421369906812,302,383,289,X,X,52
National,X,2005,38,1219,156067,419,1.01122644469238,0.781074794799669,368,516,285,X,X,50
National,X,2005,39,1204,149205,447,0.977808466574538,0.806943467041989,381,484,276,X,X,63
National,X,2005,40,3586,333164,1113,1.17777652523357,1.07634678416636,1172,1256,924,X,X,234
National,X,2005,41,3582,338343,1160,1.21946603028022,1.05868896356656,1285,1247,853,X,X,197
National,X,2005,42,4122,369609,1216,1.30689746064219,1.11523258362215,1393,1525,992,X,X,212
National,X,2005,43,4248,377999,1237,1.33930904005386,1.12381249685846,1439,1599,997,X,X,213
National,X,2005,44,5005,398840,1280,1.58374139418663,1.25488917861799,1639,1894,1190,X,X,282
National,X,2005,45,5038,376924,1272,1.47072276224058,1.33660897156987,1563,1929,1251,X,X,295
National,X,2005,46,5276,382697,1277,1.6111954542992,1.37863636244862,1679,1951,1331,X,X,315
National,X,2005,47,4802,298578,1301,1.82699400226217,1.6082899610822,1666,1593,1249,X,X,294
National,X,2005,48,5966,402264,1325,1.77481619353609,1.48310562217847,1858,2176,1583,X,X,349
National,X,2005,49,6371,385248,1328,1.94450687873534,1.6537399285655,1987,2463,1534,X,X,387
National,X,2005,50,7697,383548,1318,2.35511513433343,2.00678924150302,2241,3063,1997,X,X,396
National,X,2005,51,8577,333921,1287,3.10877514295907,2.56857160825465,2696,3058,2293,X,X,530
National,X,2005,52,8842,289638,1273,3.28237612218792,3.05277622411424,2678,2561,2882,X,X,721
National,X,2006,1,8339,343871,1319,2.62913989323568,2.42503729596273,2422,2366,2817,X,X,734
National,X,2006,2,7882,393716,1339,2.2514950898881,2.00195064462709,2272,2921,2155,X,X,534
National,X,2006,3,7858,381699,1297,2.35857650224821,2.05869022449627,2249,3150,1999,X,X,460
National,X,2006,4,9114,411882,1331,2.41881416012057,2.21276967675208,2643,3646,2281,X,X,544
National,X,2006,5,9551,411291,1320,2.52752209008567,2.32220009676847,2612,4153,2288,X,X,498
National,X,2006,6,10427,418286,1311,2.64953752241428,2.49279201312021,2754,4593,2543,X,X,537
National,X,2006,7,11226,401661,1288,3.12935321174658,2.79489420182691,2624,4979,2992,X,X,631
National,X,2006,8,11901,400827,1288,3.12441940531803,2.96911136225853,2753,5284,3073,X,X,791
National,X,2006,9,11343,399459,1275,3.1309913073712,2.83959054621375,2579,5008,2989,X,X,767
National,X,2006,10,11261,405365,1257,3.08260941629766,2.77799020635723,2564,5106,2913,X,X,678
National,X,2006,11,9322,376971,1241,2.64430666309926,2.47286926580559,2330,4154,2231,X,X,607
National,X,2006,12,8064,369804,1217,2.4229452745597,2.18061459583996,1895,3709,1919,X,X,541
National,X,2006,13,7313,362605,1165,2.31140580935315,2.01679513520222,1697,3393,1745,X,X,478
National,X,2006,14,5738,349662,1133,1.86383228328006,1.64101332143613,1437,2660,1299,X,X,342
National,X,2006,15,4547,334760,1087,1.44943499081609,1.35828653363604,1181,2014,1067,X,X,285
National,X,2006,16,3550,310641,1045,1.30227305560176,1.14279827839854,959,1479,873,X,X,239
National,X,2006,17,3177,305389,1017,1.13458887059723,1.04031251944242,836,1382,779,X,X,180
National,X,2006,18,2780,288278,958,1.06255175777012,0.964346915130534,745,1208,637,X,X,190
National,X,2006,19,2592,276338,919,1.03428423214495,0.937981746991004,745,1039,621,X,X,187
National,X,2006,20,2428,256267,877,1.01790987567817,0.947449339946228,715,969,582,X,X,162
National,X,2006,21,2061,231075,783,0.918150851577594,0.891918208373905,699,764,452,X,X,146
National,X,2006,22,1645,190252,649,0.930990335979425,0.864642684439585,572,561,404,X,X,108
National,X,2006,23,2075,213847,635,0.857294424083551,0.9703199016119,754,626,564,X,X,131
National,X,2006,24,1430,169353,615,0.7862941262584,0.844390120045113,514,447,388,X,X,81
National,X,2006,25,1300,167770,610,0.719426395049861,0.774870358228527,463,409,328,X,X,100
National,X,2006,26,1271,154741,572,0.718868380093732,0.821372486929773,466,390,323,X,X,92
National,X,2006,27,1215,139216,565,0.774806970487722,0.872744512125043,437,402,305,X,X,71
National,X,2006,28,1617,175259,577,0.765980254100246,0.922634500938611,549,511,449,X,X,108
National,X,2006,29,1553,172654,564,0.642808854132611,0.899486834941559,541,440,460,X,X,112
National,X,2006,30,1455,172581,564,0.6220327694809,0.843082378709128,502,403,422,X,X,128
National,X,2006,31,1428,161937,551,0.616325939668562,0.881824413197725,508,430,402,X,X,88
National,X,2006,32,1373,168024,547,0.685693571560128,0.817145169737657,473,435,383,X,X,82
National,X,2006,33,1457,167183,536,0.622697338188391,0.871500092712776,510,466,390,X,X,91
National,X,2006,34,1138,154071,503,0.611817261854043,0.738620506130291,404,379,279,X,X,76
National,X,2006,35,1224,153390,488,0.638830539861845,0.797965969098377,398,457,292,X,X,77
National,X,2006,36,1463,144289,491,0.806627170384198,1.01393730637817,492,506,396,X,X,69
National,X,2006,37,1406,159603,487,0.762448355718674,0.880935822008358,446,521,361,X,X,78
National,X,2006,38,1487,157627,455,0.813406299730023,0.943366301458507,511,534,362,X,X,80
National,X,2006,39,1433,160732,469,0.807934420623137,0.891546176243685,476,512,364,X,X,81
National,X,2006,40,4513,375076,1323,1.15383912677735,1.2032228135098,1434,1699,1116,X,X,264
National,X,2006,41,4072,384920,1361,1.14818819361098,1.05788215733139,1278,1602,992,X,X,200
National,X,2006,42,4737,419005,1425,1.22735991517567,1.13053543513801,1543,1830,1099,X,X,265
National,X,2006,43,4888,434287,1445,1.2174439456118,1.12552298364906,1582,1996,1086,X,X,224
National,X,2006,44,5380,445334,1473,1.32813200398375,1.20808202382931,1672,2270,1157,X,X,281
National,X,2006,45,6139,454901,1497,1.47754109094703,1.34952440201275,2112,2393,1320,X,X,314
National,X,2006,46,6668,453945,1474,1.5339010935533,1.46890041745145,2355,2681,1342,X,X,290
National,X,2006,47,6156,336822,1488,1.91269413807369,1.82767158914798,2188,2202,1409,X,X,357
National,X,2006,48,7530,452089,1486,1.83799931698105,1.66560124223328,2573,2792,1774,X,X,391
National,X,2006,49,8122,436741,1493,1.95375577107413,1.85968342793555,2643,3244,1804,X,X,431
National,X,2006,50,10396,435177,1492,2.40407467721142,2.38891301700228,3270,4470,2177,X,X,479
National,X,2006,51,10192,365334,1435,2.8745267683527,2.78977593106582,3387,4065,2237,X,X,503
National,X,2006,52,8913,286087,1359,3.02596786415656,3.11548584871036,3243,2868,2216,X,X,586
National,X,2007,1,8386,369521,1490,2.37817014785681,2.26942447113966,2927,2481,2394,X,X,584
National,X,2007,2,7761,416464,1467,2.09232293131677,1.86354642898306,2507,2756,2018,X,X,480
National,X,2007,3,7909,395477,1470,2.2939591519265,1.99986345602905,2548,3248,1701,X,X,412
National,X,2007,4,10888,446119,1495,2.74500907198702,2.44060441272396,3410,4684,2257,X,X,537
National,X,2007,5,12120,428241,1472,3.04433966702088,2.83018207037626,3456,5648,2559,X,X,457
National,X,2007,6,14197,454533,1484,3.49998683172266,3.12342558186094,3840,6995,2910,X,X,452
National,X,2007,7,14031,429057,1461,3.57850964552411,3.27019486921318,3879,6668,2955,X,X,529
National,X,2007,8,14048,442099,1460,3.28978609422107,3.17756882508216,3728,6537,3175,X,X,608
National,X,2007,9,11801,433281,1428,2.89149161110763,2.72363662380764,3016,5429,2778,X,X,578
National,X,2007,10,10715,428255,1408,2.62074751563249,2.50201398699373,2798,4937,2533,X,X,447
National,X,2007,11,9597,395394,1361,2.53387108275255,2.42719919877388,2668,4031,2426,X,X,472
National,X,2007,12,7562,385735,1333,2.07251264037408,1.9604132370669,2049,3307,1857,X,X,349
National,X,2007,13,6148,386327,1303,1.87084370928676,1.59139796079487,1664,2508,1625,X,X,351
National,X,2007,14,4958,361955,1284,1.40042142043255,1.36978353662748,1445,1803,1379,X,X,331
National,X,2007,15,4869,357183,1240,1.46887378467638,1.36316678005392,1429,1821,1274,X,X,345
National,X,2007,16,4179,356055,1206,1.15513661856722,1.17369507519906,1257,1523,1112,X,X,287
National,X,2007,17,3695,347413,1152,1.07901266857705,1.0635756290064,1152,1386,937,X,X,220
National,X,2007,18,3077,317311,1119,0.984919500880424,0.969711103617587,969,1143,755,X,X,210
National,X,2007,19,2860,296262,1057,1.0332476590855,0.965361740621477,917,1055,713,X,X,175
National,X,2007,20,2442,285031,1025,0.926649487991465,0.856748915030295,815,861,590,X,X,176
National,X,2007,21,2243,259803,925,0.920100404689537,0.86334645866291,761,785,561,X,X,136
National,X,2007,22,2058,220020,831,0.954094069567869,0.935369511862558,722,652,554,X,X,130
National,X,2007,23,1679,225197,796,0.763277995033034,0.745569434761564,628,510,422,X,X,119
National,X,2007,24,1614,217982,771,0.817220025397381,0.740428108742924,598,469,413,X,X,134
National,X,2007,25,1456,216378,749,0.764586084184721,0.672896505189992,521,441,394,X,X,100
National,X,2007,26,1455,218376,742,0.793127059425127,0.666282009011979,514,408,431,X,X,102
National,X,2007,27,1169,176387,711,0.669089515515112,0.66274725461627,394,360,313,X,X,102
National,X,2007,28,1086,199040,697,0.621150419793594,0.545618971061093,366,372,296,X,X,52
National,X,2007,29,1211,206574,698,0.603659013150159,0.586230600172335,446,345,335,X,X,85
National,X,2007,30,1356,205241,691,0.649058493453503,0.660686704898144,477,392,391,X,X,96
National,X,2007,31,1037,194161,677,0.568338364043286,0.534092840477748,321,311,344,X,X,61
National,X,2007,32,1172,200154,667,0.651546018677327,0.585549127172078,389,385,320,X,X,78
National,X,2007,33,1283,207580,666,0.652175701176833,0.618074959051932,439,411,338,X,X,95
National,X,2007,34,1448,210629,671,0.803848519755413,0.687464689097892,495,457,408,X,X,88
National,X,2007,35,1526,213219,652,0.787458252030398,0.715696068361638,502,500,416,X,X,108
National,X,2007,36,1554,187384,641,0.943262693979476,0.82931306835162,519,545,417,X,X,73
National,X,2007,37,1694,211509,638,0.946931879596518,0.800911545135195,496,682,417,X,X,99
National,X,2007,38,1913,208278,632,0.987145583548856,0.918483949336944,609,681,502,X,X,121
National,X,2007,39,2228,273623,703,1.05206476962465,0.81425903524192,729,788,583,X,X,128
National,X,2007,40,5641,526227,1373,0.995183767966289,1.07197084148096,2187,1997,1167,X,X,290
National,X,2007,41,6444,529126,1429,1.22003049402253,1.2178573723461,2387,2433,1321,X,X,303
National,X,2007,42,6941,557172,1449,1.28547821389234,1.24575535023296,2583,2551,1455,X,X,352
National,X,2007,43,7434,546680,1477,1.37750486928409,1.35984488183215,2871,2788,1400,X,X,375
National,X,2007,44,7915,547104,1485,1.46724534644602,1.44670848686904,3074,2998,1475,X,X,368
National,X,2007,45,8687,566717,1539,1.55840590169511,1.53286384562312,3398,3303,1609,X,X,377
National,X,2007,46,9104,546284,1516,1.61958073873427,1.66653242635699,3563,3290,1780,X,X,471
National,X,2007,47,8570,433951,1523,1.81120431671438,1.97487734790333,3651,2631,1812,X,X,476
National,X,2007,48,9171,548159,1513,1.61864710434124,1.67305471587623,3679,3158,1921,X,X,413
National,X,2007,49,8436,516263,1487,1.6212371343592,1.63405086167322,3365,2907,1772,X,X,392
National,X,2007,50,8091,463416,1453,1.67351332327587,1.74594748562846,3298,2694,1697,X,X,402
National,X,2007,51,8750,451862,1420,1.95095708187996,1.93643191947984,3580,2724,1987,X,X,459
National,X,2007,52,8902,357646,1426,2.50018838414231,2.48905342153973,3848,2348,2184,X,X,522
National,X,2008,1,9706,430603,1486,2.43938754845282,2.25404839260293,3737,2568,2731,X,X,670
National,X,2008,2,11115,531444,1509,2.29319128031765,2.09147153792309,3393,3644,3262,X,X,816
National,X,2008,3,12197,516966,1511,2.62906608636993,2.35934278076315,3664,4900,3038,X,X,595
National,X,2008,4,17171,516683,1508,3.92965622436593,3.32331429522551,4289,7661,4499,X,X,722
National,X,2008,5,24812,559609,1514,4.99201605070683,4.43381003522102,5222,11974,6595,X,X,1021
National,X,2008,6,31896,596692,1526,5.7775955674872,5.34547136546158,6059,15323,9212,X,X,1302
National,X,2008,7,31625,583210,1518,5.98317540961851,5.4225750587267,6244,14336,9487,X,X,1558
National,X,2008,8,30245,570334,1497,5.61676753847431,5.30303295963418,5922,12783,9812,X,X,1728
National,X,2008,9,25027,589626,1453,4.53234005967958,4.24455502301459,4978,9958,8583,X,X,1508
National,X,2008,10,20254,558269,1445,3.83248629085351,3.62800012180508,4420,7849,6781,X,X,1204
National,X,2008,11,16714,550776,1412,3.21521811334386,3.03462750737142,3878,6112,5676,X,X,1048
National,X,2008,12,13040,514205,1395,2.69244647153937,2.53595355937807,3153,4493,4520,X,X,874
National,X,2008,13,10376,504350,1379,2.03365583503679,2.05730147714881,2689,3395,3496,X,X,796
National,X,2008,14,8583,492850,1327,1.65275048296605,1.74150350005073,2372,2697,2872,X,X,642
National,X,2008,15,7045,500881,1318,1.31129636420394,1.40652170874918,2045,2354,2160,X,X,486
National,X,2008,16,6079,479187,1288,1.16519708112907,1.26860703650141,1857,2013,1802,X,X,407
National,X,2008,17,4953,459808,1208,1.02034763369206,1.07718873964785,1572,1713,1345,X,X,323
National,X,2008,18,4224,425187,1147,0.877607227554611,0.99344523703688,1466,1416,1107,X,X,235
National,X,2008,19,4011,440183,1098,0.825106625665561,0.911211927766406,1356,1381,1066,X,X,208
National,X,2008,20,3904,401601,1074,0.787314875112876,0.972109133194389,1439,1274,980,X,X,211
National,X,2008,21,3646,367075,945,0.805438572693894,0.993257508683512,1393,1116,926,X,X,211
National,X,2008,22,3803,348477,869,0.886061331874823,1.09132023060345,1473,1083,1004,X,X,243
National,X,2008,23,2933,330127,789,0.743742683096117,0.888445961705647,1159,906,729,X,X,139
National,X,2008,24,2906,327366,764,0.706842044861421,0.887691452380516,1113,886,720,X,X,187
National,X,2008,25,2842,321789,755,0.655943481999601,0.883187430272632,1115,855,712,X,X,160
National,X,2008,26,2534,306499,730,0.63349176705577,0.826756367883745,937,810,654,X,X,133
National,X,2008,27,2405,307073,713,0.571837180694024,0.783201388594894,913,762,575,X,X,155
National,X,2008,28,2431,311423,710,0.558278240857383,0.780610295321797,881,749,669,X,X,132
National,X,2008,29,2319,301532,696,0.59789328191094,0.769072602576178,826,703,619,X,X,171
National,X,2008,30,2166,300292,694,0.577221624227943,0.72129793667497,779,704,552,X,X,131
National,X,2008,31,2289,304175,676,0.596987365404301,0.75252732801841,788,763,599,X,X,139
National,X,2008,32,2220,294930,668,0.56465287318114,0.752720984640423,679,706,619,X,X,216
National,X,2008,33,2368,298701,657,0.585681702597665,0.792766010157315,789,745,650,X,X,184
National,X,2008,34,2237,300714,657,0.503985402973617,0.7438961937256,730,754,619,X,X,134
National,X,2008,35,2429,298342,636,0.468139143858092,0.814166292375864,794,892,616,X,X,127
National,X,2008,36,2461,293535,666,0.576454849136825,0.838400872127685,774,880,663,X,X,144
National,X,2008,37,2788,327567,685,0.681360615375637,0.851123586930307,859,994,758,X,X,177
National,X,2008,38,3735,336560,679,0.794763739412068,1.10975754694557,1062,1527,958,X,X,188
National,X,2008,39,3400,329731,716,0.868115785409026,1.03114356854527,983,1306,932,X,X,179
National,X,2008,40,5687,555999,1435,1.06828136522751,1.02284356626541,1535,2352,1476,X,X,324
National,X,2008,41,5959,578446,1500,1.00755640865393,1.0301739488215,1861,2291,1485,X,X,322
National,X,2008,42,5896,582351,1525,0.979398906443081,1.01244781927051,1869,2219,1467,X,X,341
National,X,2008,43,6485,598473,1527,1.04942944896004,1.08359107261313,1976,2474,1668,X,X,367
National,X,2008,44,6987,599343,1545,1.13218246937968,1.1657765252952,2119,2547,1869,X,X,452
National,X,2008,45,7297,612526,1555,1.13156087725251,1.19129636946024,2276,2668,1981,X,X,372
National,X,2008,46,7667,598635,1555,1.15469317831331,1.28074703283303,2512,2854,1889,X,X,412
National,X,2008,47,7733,608646,1563,1.20448041075936,1.27052506711619,2600,2828,1893,X,X,412
National,X,2008,48,7634,478386,1523,1.36081326766458,1.5957824852734,3024,2412,1741,X,X,457
National,X,2008,49,8708,597052,1551,1.30321908134958,1.45849942718557,3114,2913,2212,X,X,469
National,X,2008,50,8689,579573,1543,1.30204227865501,1.49920717493741,3252,3024,1974,X,X,439
National,X,2008,51,7812,479318,1416,1.45108668034987,1.62981569646873,3137,2579,1640,X,X,456
National,X,2008,52,8706,403876,1484,1.79927367652229,2.15561211857105,3897,2367,1947,X,X,495
National,X,2008,53,8603,425780,1490,2.12133663329022,2.02052703273991,3814,2042,2163,X,X,584
National,X,2009,1,8956,579428,1539,1.47137840370282,1.54566227382867,3245,2548,2606,X,X,557
National,X,2009,2,9289,565631,1512,1.6155496111202,1.64223672323476,3142,3345,2329,X,X,473
National,X,2009,3,11456,582932,1566,1.95332602587433,1.96523779789066,3602,4597,2821,X,X,436
National,X,2009,4,14324,611176,1554,2.42906504047013,2.34367841669176,4039,6602,3215,X,X,468
National,X,2009,5,18268,638613,1580,2.96686053291814,2.86057440108485,4606,8882,4240,X,X,540
National,X,2009,6,21667,648304,1569,3.57353697615211,3.34210493842395,5064,11215,4636,X,X,752
National,X,2009,7,20022,624583,1543,3.36652900665455,3.20565881556174,4848,9851,4685,X,X,638
National,X,2009,8,20450,659573,1544,3.29619584830173,3.10049077206011,4694,10092,5007,X,X,657
National,X,2009,9,18441,623389,1534,3.17226797580573,2.95818501770163,4420,9116,4272,X,X,633
National,X,2009,10,15711,637672,1524,2.58040499453689,2.46380584375666,4046,7446,3601,X,X,618
National,X,2009,11,13277,605503,1494,2.42922285573919,2.19272241425724,3657,6036,3002,X,X,582
National,X,2009,12,11400,608342,1470,1.99027929209984,1.8739459054282,3237,5052,2661,X,X,450
National,X,2009,13,9669,586651,1440,1.72422584359491,1.64816901360434,2829,4283,2158,X,X,399
National,X,2009,14,8460,564460,1422,1.60354839431917,1.49877759274351,2577,3407,2085,X,X,391
National,X,2009,15,7222,558837,1415,1.2841784961947,1.29232674286062,2371,2761,1727,X,X,363
National,X,2009,16,7348,577836,1445,1.29320023073958,1.27164108847493,2353,2855,1743,X,X,397
National,X,2009,17,18627,624734,1405,2.74012331225323,2.98158896426319,4821,8043,5093,X,X,670
National,X,2009,18,14578,598189,1422,2.22391145123621,2.43702241264885,3920,6221,3875,X,X,562
National,X,2009,19,12554,550300,1372,1.76656838942395,2.28130110848628,3236,5888,3018,X,X,412
National,X,2009,20,20774,544432,1331,1.92170567241312,3.81571986951538,4188,12026,4136,X,X,424
National,X,2009,21,22394,531526,1314,1.86110425685729,4.21315231992414,4496,12461,4950,X,X,487
National,X,2009,22,17105,538177,1305,1.68422773140478,3.17832237349422,3865,8615,4213,X,X,412
National,X,2009,23,12392,493761,1296,1.73930292858566,2.50971623923315,3072,5660,3276,X,X,384
National,X,2009,24,10780,521701,1280,1.83001431081168,2.06631768005045,2623,4740,3084,X,X,333
National,X,2009,25,8801,512268,1279,1.581280179284,1.71804602278495,2299,3700,2476,X,X,326
National,X,2009,26,7422,475877,1237,1.49172467570645,1.55964671543277,2145,2893,2023,X,X,361
National,X,2009,27,6290,480680,1246,1.38899504262634,1.30856286926854,1701,2481,1815,X,X,293
National,X,2009,28,5964,502466,1248,1.34702058135752,1.18694598241473,1581,2437,1708,X,X,238
National,X,2009,29,5735,503971,1248,1.16056441078711,1.1379623033865,1608,2285,1611,X,X,231
National,X,2009,30,5587,485804,1254,1.20850078834848,1.1500522844604,1519,2199,1575,X,X,294
National,X,2009,31,5526,496666,1230,1.15544127671425,1.11261894311268,1651,2082,1530,X,X,263
National,X,2009,32,5877,506019,1234,1.14517885143283,1.16141884000403,1645,2321,1646,X,X,265
National,X,2009,33,8941,544827,1286,1.46639614432285,1.64107138596288,2167,4210,2168,X,X,396
National,X,2009,34,14556,588916,1320,2.3801716181174,2.4716597952849,2883,8253,2977,X,X,443
National,X,2009,35,21350,573972,1358,3.4468130993167,3.71969364359237,3713,13114,3982,X,X,541
National,X,2009,36,22561,571201,1367,4.05314873784874,3.94974798713588,4087,13407,4547,X,X,520
National,X,2009,37,26091,638302,1380,4.26620869255677,4.08756356708893,4445,15326,5668,X,X,652
National,X,2009,38,24454,608464,1313,4.21579403010223,4.01897236319651,4462,14152,5252,X,X,588
National,X,2009,39,27919,606458,1331,4.88609794072285,4.6036164087208,4974,16291,6090,X,X,564
National,X,2009,40,48420,855346,2056,6.06922886681801,5.66086706432251,9302,27406,X,8554,2255,903
National,X,2009,41,58196,853912,2134,7.09466802852612,6.81522217746091,11527,32585,X,10271,2800,1013
National,X,2009,42,69068,906536,2162,7.71510229753135,7.61889213445467,13187,39364,X,12399,3048,1070
